Week,Tournament,Start 1,Start 2,Start 3,Start 4,Start 5,Bench 1,Bench 2,Bench 3,Bench 4,Bench 5,Injury Reserve
1,Las Vegas,Paul Mcbeth,Gannon Buhr,Simon Lizotte,Matthew Orum,Brodie Smith,Aaron Gossage,Niklas Anttila,Nate Sexton,Bradley Williams,Chris Clemons,
2,Waco,Paul Mcbeth,Gannon Buhr,Chris Clemons,Matthew Orum,Aaron Gossage,Brodie Smith,Niklas Anttila,Zach Arlinghaus,Bradley Williams,Simon Lizotte,
3,Austin,Paul Mcbeth,Gannon Buhr,Simon Lizotte,Matthew Orum,Niklas Anttila,Aaron Gossage,Cole Redalen,Zach Arlinghaus,Bradley Williams,Chris Clemons,
4,Music City,Simon Lizotte,Gannon Buhr,Cole Redalen,Matthew Orum,Aaron Gossage,Paul Mcbeth,Niklas Anttila,Joona Heinanen,Zach Arlinghaus,Chris Clemons,
5,Champions Cup,Gannon Buhr,Matthew Orum,Simon Lizotte,Paul Mcbeth,Niklas Anttila,Aaron Gossage,Chris Clemons,Joona Heinanen,Zach Arlinghaus,Cole Redalen,
6,Jonesboro Open,Gannon Buhr,Paul Mcbeth,Aaron Gossage,Simon Lizotte,Cole Redalen,Matthew Orum,Niklas Anttila,Joona Heinanen,Zach Arlinghaus,Chris Clemons,
7,OTB Open,Gannon Buhr,Niklas Anttila,Aaron Gossage,Simon Lizotte,Cole Redalen,Paul Mcbeth,Chris Clemons,Joona Heinanen,Zach Arlinghaus,Matthew Orum,
8,Portland Open,Gannon Buhr,Niklas Anttila,Aaron Gossage,Simon Lizotte,Cole Redalen,Paul Mcbeth,Chris Clemons,Joona Heinanen,Zach Arlinghaus,Matthew Orum,
9,Dynamic Discs Open,Gannon Buhr,Matthew Orum,Aaron Gossage,Chris Clemons,Cole Redalen,Paul Mcbeth,Niklas Anttila,Joona Heinanen,Zach Arlinghaus,Hjalmar Fredriksson,
10,Trubank Des Moines Challenge,Gannon Buhr,Matthew Orum,Aaron Gossage,Simon Lizotte,Cole Redalen,Paul Mcbeth,Niklas Anttila,Joona Heinanen,Zach Arlinghaus,Hjalmar Fredriksson,
11,The Preserve Championship,Gannon Buhr,Matthew Orum,Aaron Gossage,Simon Lizotte,Cole Redalen,Paul Mcbeth,Niklas Anttila,Joona Heinanen,Zach Arlinghaus,Hjalmar Fredriksson,
12,PCS Open,Niklas Anttila,Matthew Orum,Aaron Gossage,Paul Mcbeth,Joona Heinanen,Cole Redalen,Simon Lizotte,Gannon Buhr,Zach Arlinghaus,Hjalmar Fredriksson,
13,European Open,Hjalmar Fredriksson,Matthew Orum,Aaron Gossage,Niklas Anttila,Paul Mcbeth,Cole Redalen,Simon Lizotte,Gannon Buhr,Zach Arlinghaus,Joona Heinanen,
14,Discraft Ledgestone Open,Gannon Buhr,Matthew Orum,Aaron Gossage,Simon Lizotte,Cole Redalen,Paul Mcbeth,Niklas Anttila,Joona Heinanen,Zach Arlinghaus,Hjalmar Fredriksson,
15,LWS Open at Idlewild,Gannon Buhr,Matthew Orum,Aaron Gossage,Simon Lizotte,Cole Redalen,Paul Mcbeth,Niklas Anttila,Joona Heinanen,Zach Arlinghaus,Hjalmar Fredriksson,
16,Discraft's Great Lakes Open,Gannon Buhr,Matthew Orum,Aaron Gossage,Simon Lizotte,Cole Redalen,Paul Mcbeth,Niklas Anttila,Joona Heinanen,Zach Arlinghaus,Hjalmar Fredriksson,
17,PDGA Professional World Championships,,,,,,,,,,,
18,MVP Open at Maple Hill,,,,,,,,,,,
19,U.S. Disc Golf Championship,,,,,,,,,,,
20,Disc Golf Pro Tour Championship,,,,,,,,,,,
