1,Silva Saarinen,107335,986,-34,61,56,61,58,236,"$7,500"
2,Holyn Handley,133547,987,-29,61,61,58,61,241,"$4,200"
3,Eliezra Midtlyng,198446,942,-26,60,60,63,61,244,"$2,825"
4,Ohn Scoggins,48976,986,-23,60,59,67,61,247,"$2,025"
4,Missy Gannon,85942,987,-23,61,60,63,63,247,"$2,025"
6,Rebecca Don,208576,955,-21,64,61,60,64,249,"$1,600"
7,Ella Hansen,144112,970,-18,67,62,62,61,252,"$1,400"
8,Valerie Mandujano,62879,974,-16,63,64,64,63,254,"$1,250"
9,Emily Weatherman,111487,951,-14,66,62,66,62,256,"$1,100"
10,Anniken Kristiansen Steen,109996,962,-12,65,61,68,64,258,"$1,000"
11,Kat Mertsch,99455,966,-11,69,63,66,61,259,$880
11,Paige Pierce,29190,972,-11,65,62,71,61,259,$880
13,Kona Star Montgomery,27832,944,-10,62,67,70,61,260,$755
13,Jessica Gurthie,50656,958,-10,66,64,64,66,260,$755
15,Heidi Laine,66599,959,-8,64,64,72,62,262,$680
16,Violet Main,104314,942,-6,63,66,74,61,264,$600
16,Chandler Reigh,277832,936,-6,68,63,71,62,264,$600
16,Catrina Allen,44184,962,-6,67,67,63,67,264,$600
19,Taylor Chocek,189702,946,-3,67,66,70,64,267,$515
19,Amanda Lennartsson,155026,927,-3,64,63,72,68,267,$515
21,Dani K. Hart,146137,949,-2,68,63,71,66,268,$475
22,Holly Finley,51277,932,-1,64,64,73,68,269,$225
22,Madison Walker,59431,948,-1,66,65,69,69,269,$225
24,Lisa Fajkus,32654,959,E,71,67,66,66,270,
25,Jennifer Allen,15354,971,+1,65,67,70,69,271,
26,Sofia Donnecke,185534,964,+2,67,67,68,70,272,
26,Therese Cuevas,162896,932,+2,68,65,69,70,272,
28,Trinity Bryant,168863,916,+10,68,70,73,69,280,
28,Kelley Foster,152191,932,+10,66,69,74,71,280,
30,Raven Klein,138272,949,+12,68,67,75,72,282,
30,Rebecca Cox,32917,956,+12,72,68,69,73,282,
32,Zoe AnDyke,39504,925,+14,64,69,81,70,284,
33,Jessica Erickson,261058,890,+17,73,67,74,73,287,
33,Candyce Boyce,149803,892,+17,71,69,72,75,287,
35,Elva-Kate Preston,184609,907,+19,75,71,68,75,289,
36,Erika Stinchcomb,71262,918,+13,70,70,75,215,,
37,Madison Tomaino,60798,923,+16,71,69,78,218,,
38,Hannah Kellar,198721,883,+18,74,73,73,220,,
38,Maria Oliva,63257,914,+18,64,76,80,220,,
40,Emily Yale,144791,892,+21,75,69,79,223,,
41,Jennifer Rice,151072,899,+24,72,76,78,226,,
42,Sadie Shattuck,147393,866,+36,79,75,84,238,,
43,Rebecca Minnick,170182,869,+44,78,82,86,246,,
44,Ratana McMahon,101949,895,71,78,999,DNF,,,
