1,Ohn Scoggins,48976,990,+4,79,72,72,223,"$1,000"
2,Catrina Allen,44184,961,+5,83,72,69,224,$600
3,Heidi Laine,66599,959,+10,82,69,78,229,$360
4,Cynthia Ricciotti,75029,917,+17,83,78,75,236,$225
5,Peyton Kohut,195550,913,+26,84,87,74,245,$160
5,Chandler Reigh,277832,939,+26,88,77,80,245,$160
7,Emma Arp,135383,912,+27,86,85,75,246,$65
7,Kylie Kohut,195549,933,+27,86,85,75,246,$65
9,Elva-Kate Preston,184609,908,+29,86,80,82,248,
9,Lykke Lorentzen,99441,923,+29,88,76,84,248,
11,Virginia Polkinghorne,76009,884,+40,87,82,90,259,
12,Evie Lou Ramey,221583,894,+41,92,85,83,260,
13,Sarah Wadsworth,227315,901,+42,91,83,87,261,
14,Sunny Stansbury,101767,836,999,DNF,,,,
