1,Anniken Kristiansen Steen,109996,962,-10,60,66,62,188,"$3,450"
2,Julia Fors,224238,951,-8,61,63,66,190,"$1,900"
3,Keiti Tätte,94085,954,-7,64,65,62,191,"$1,325"
4,Kristýna Jurčíková,210972,962,-3,62,64,69,195,"$1,050"
5,Matilda Ringbom,77385,938,-2,65,64,67,196,$800
5,Iida Lehtomäki,216558,965,-2,65,62,69,196,$800
7,Josefine Johansson,185057,927,-1,67,65,65,197,$607
7,Netta Leppäaho,245306,939,-1,65,63,69,197,$607
9,Elizabete Pēkšena,202571,914,E,65,64,69,198,$520
10,Amanda Lennartsson,155026,930,+1,72,64,63,199,$437
10,Saga Dahlstedt,308525,906,+1,69,63,67,199,$437
10,Kaidi Allsalu,84279,951,+1,67,65,67,199,$437
13,Ida Emilie Nesse,181772,950,+5,72,64,67,203,$190
13,Olivia Kindstedt,115503,945,+5,65,69,69,203,$190
15,Maarja Soasepp,128532,892,+8,69,73,64,206,
16,Hannele Määttä,57529,915,+12,75,64,71,210,
17,Elina Rydberg,121554,903,+13,73,72,66,211,
18,Kristi Prik,278324,873,+17,80,70,65,215,
18,Karolína Jurčíková,285033,898,+17,71,70,74,215,
20,Asta Hapulahti,220605,911,+18,72,72,72,216,
21,Martje Sumowski,222973,929,+19,74,72,71,217,
22,Sonja Laine,96090,899,+21,67,73,79,219,
23,Ella Tejler,156259,898,+23,78,70,73,221,
24,Tiia Nylén,218375,886,+24,76,71,75,222,
25,María Eldey Kristínardóttir,140660,917,+38,79,72,85,236,
