1,Ohn Scoggins,48976,982,-18,61,64,58,183,"$6,000"
2,Holyn Handley,133547,986,-14,62,64,61,187,"$3,501"
2,Taylor Chocek,189702,940,-14,61,61,65,187,"$3,501"
4,Lisa Fajkus,32654,953,-12,59,64,66,189,"$2,200"
5,Missy Gannon,85942,989,-11,61,63,66,190,"$1,600"
6,Ella Hansen,144112,970,-10,69,61,61,191,"$1,400"
7,Sofia Donnecke,185534,960,-9,64,64,64,192,"$1,150"
8,Jessica Gurthie,50656,957,-8,63,61,69,193,"$1,000"
9,Hanna Huynh,112647,958,-7,62,67,65,194,$865
10,Ida Emilie Nesse,181772,948,-6,72,62,61,195,$770
11,Rebecca Don,208576,954,-5,63,68,65,196,$700
11,Rebecca Cox,32917,960,-5,61,67,68,196,$700
13,Chandler Reigh,277832,932,-4,68,65,64,197,$625
13,Valerie Mandujano,62879,971,-4,65,63,69,197,$625
15,Anniken Kristiansen Steen,109996,963,-3,66,67,65,198,$535
15,Holly Finley,51277,932,-3,65,68,65,198,$535
15,Sarah Hokom,34563,951,-3,67,65,66,198,$535
15,Kona Star Montgomery,27832,937,-3,66,64,68,198,$535
19,Addison Woodard,161918,955,-2,64,72,63,199,$439
19,Paige Pierce,29190,972,-2,74,61,64,199,$439
19,Catrina Allen,44184,958,-2,69,66,64,199,$439
22,Kat Mertsch,99455,966,-1,64,69,67,200,$400
23,Cadence Burge,79233,972,E,67,67,67,201,
23,Jordan Lynds,176243,945,E,67,66,68,201,
25,Alexis Kerman,142354,921,+1,68,70,64,202,
26,Eliezra Midtlyng,198446,941,+2,66,68,69,203,
27,Raven Klein,138272,945,+5,67,69,70,206,
27,Macie Velediaz,104187,957,+5,67,67,72,206,
27,MJ Gager,146304,922,+5,66,66,74,206,
30,Emily Weatherman,111487,946,+7,72,70,66,208,
30,Madison Walker,59431,949,+7,68,70,70,208,
32,Jennifer Smiley,184736,933,+8,68,71,70,209,
33,Maria Oliva,63257,911,+12,69,71,73,213,
34,Kylie Kohut,195549,928,+14,71,73,71,215,
35,Morgan Lynds,176242,937,+15,75,69,72,216,
35,Eva Lutsenko,242116,917,+15,71,70,75,216,
37,Ratana McMahon,101949,897,+18,74,75,70,219,
37,Erika Stinchcomb,71262,917,+18,72,74,73,219,
39,Trinity Bryant,168863,914,+20,78,75,68,221,
39,Nid Ovathanasin,157471,928,+20,73,74,74,221,
39,Karen Martel,103743,916,+20,69,77,75,221,
42,Lauren Butler,65489,927,+22,76,77,70,223,
43,Cynthia Ricciotti,75029,915,+23,68,71,85,224,
44,Peyton Kohut,195550,897,+26,72,75,80,227,
