1,Holyn Handley,133547,987,-9,62,67,66,195,"$7,000"
2,Valerie Mandujano,62879,974,-1,67,71,65,203,"$3,350"
2,Lisa Fajkus,32654,955,-1,71,65,67,203,"$3,350"
4,Ohn Scoggins,48976,985,E,69,66,69,204,"$1,800"
4,Missy Gannon,85942,987,E,71,63,70,204,"$1,800"
6,Jessica Gurthie,50656,958,+1,72,69,64,205,"$1,320"
6,Kat Mertsch,99455,967,+1,68,69,68,205,"$1,320"
8,Ida Emilie Nesse,181772,951,+3,67,68,72,207,"$1,080"
9,Paige Pierce,29190,973,+4,68,69,71,208,$950
10,Alexis Mandujano,62880,950,+6,70,73,67,210,$720
10,Catrina Allen,44184,958,+6,69,71,70,210,$720
10,Hanna Huynh,112647,961,+6,69,70,71,210,$720
10,Rebecca Cox,32917,959,+6,66,67,77,210,$720
14,Ella Hansen,144112,972,+7,71,70,70,211,$545
15,Eliezra Midtlyng,198446,943,+8,70,69,73,212,$500
16,Madison Walker,59431,948,+10,73,68,73,214,$465
16,Cadence Burge,79233,970,+10,72,66,76,214,$465
18,Raven Klein,138272,945,+11,72,75,68,215,$410
18,Jennifer Smiley,184736,933,+11,72,70,73,215,$410
20,Erika Stinchcomb,71262,917,+13,75,71,71,217,
21,Peyton Kohut,195550,898,+14,77,71,70,218,
22,Kelley Foster,152191,928,+15,74,73,72,219,
23,Chandler Reigh,277832,933,+16,76,75,69,220,
23,Kylie Kohut,195549,930,+16,74,70,76,220,
23,Emily Weatherman,111487,945,+16,71,73,76,220,
26,Leah Tsinajinnie,139109,919,+17,73,74,74,221,
27,Maria Oliva,63257,912,+21,76,73,76,225,
28,Taylor Chocek,189702,943,+23,72,78,77,227,
29,Holly Finley,51277,929,+24,77,80,71,228,
30,Heidi Laine,66599,960,+26,77,73,80,230,
31,Shelby Cowen,124064,913,+27,75,80,76,231,
32,Alexis Kerman,142354,925,+29,81,73,79,233,
33,Shiru Liu,158461,903,+30,75,81,78,234,
34,Nathalie Ortiz,133701,902,+33,82,80,75,237,
34,Lauren Butler,65489,921,+33,80,80,77,237,
36,Ratana McMahon,101949,898,+40,75,86,83,244,
37,Natalie Berg,268900,864,+42,83,82,81,246,
