1,Henna Blomroos,59227,970,-14,58,61,62,181
2,Holyn Handley,133547,987,-13,59,62,61,182
3,Silva Saarinen,107335,988,-11,66,62,56,184
4,Catrina Allen,44184,960,-10,61,63,61,185
5,Eveliina Salonen,64927,979,-9,61,64,61,186
6,Kona Star Montgomery,27832,940,-7,62,62,64,188
7,Emily Weatherman,111487,949,-6,62,68,59,189
7,Sintija Klezberga,229526,936,-6,64,62,63,189
9,Anneli Tõugjas-Männiste,85484,959,-5,63,65,62,190
9,Ella Hansen,144112,971,-5,63,63,64,190
11,Hanna Huynh,112647,964,-3,67,66,59,192
12,Heidi Laine,66599,946,-2,63,67,63,193
12,Sofia Donnecke,185534,962,-2,68,59,66,193
14,Raven Klein,138272,945,-1,63,67,64,194
15,Taylor Chocek,189702,946,E,62,70,63,195
16,Kat Mertsch,99455,969,+1,66,69,61,196
17,Macie Velediaz,104187,956,+2,64,71,62,197
18,Rebecca Don,208576,954,+4,68,65,66,199
19,MJ Gager,146304,929,+5,62,69,69,200
20,Addison Woodard,161918,953,+7,74,65,63,202
20,Eliezra Midtlyng,198446,939,+7,68,70,64,202
22,Dani K. Hart,146137,947,+10,69,70,66,205
22,Nina Bennett,140947,937,+10,68,69,68,205
22,Iida Lehtomäki,216558,969,+10,66,71,68,205
25,Kelley Foster,152191,931,+11,70,70,66,206
25,Jessica Gurthie,50656,959,+11,66,73,67,206
25,Rebecca Cox,32917,956,+11,78,60,68,206
28,Maria Oliva,63257,916,+15,69,75,66,210
28,Jennifer Smiley,184736,935,+15,70,70,70,210
30,Shelby Cowen,124064,918,+18,71,73,69,213
31,Ann Deputy,238187,922,+19,67,80,67,214
31,Tailey Rowley,231650,907,+19,72,70,72,214
33,Madison Tomaino,60798,926,+22,68,80,69,217
34,Erika Stinchcomb,71262,919,+25,74,78,68,220
35,Cynthia Ricciotti,75029,914,+32,78,75,74,227
35,Anna Pinter,106489,875,+32,71,76,80,227
37,Ratana McMahon,101949,896,+33,73,75,80,228
38,Jordan Coomes,288014,875,+51,79,84,83,246
