1,Ohn Scoggins,48976,985,-13,65,59,64,188,"$1,500"
2,Alexis Mandujano,62880,957,-5,73,65,58,196,$607
2,Lisa Fajkus,32654,957,-5,69,65,62,196,$607
2,Sintija Klezberga,229526,936,-5,65,65,66,196,$607
5,Silva Saarinen,107335,988,-2,75,61,63,199,$370
6,Heidi Laine,66599,946,-1,72,67,61,200,$261
6,Kona Star Montgomery,27832,940,-1,68,66,66,200,$261
6,Rebecca Cox,32917,956,-1,74,59,67,200,$261
6,Dani K. Hart,146137,947,-1,67,65,68,200,$261
10,Eliezra Midtlyng,198446,939,+2,72,67,64,203,$195
10,Leah Tsinajinnie,139109,921,+2,67,64,72,203,$195
12,Aria Castruita,105126,942,+3,75,67,62,204,$175
13,Kat Mertsch,99455,969,+5,78,67,61,206,$160
14,Sarah Hokom,34563,951,+6,72,64,71,207,$150
15,Sheliemae Lai,215439,947,+7,77,68,63,208,$145
16,Emily Weatherman,111487,949,+9,70,74,66,210,$132
16,Tailey Rowley,231650,907,+9,73,66,71,210,$132
18,Catrina Allen,44184,960,+10,80,69,62,211,
19,Jennifer Smiley,184736,935,+12,69,78,66,213,
19,Lauren Butler,65489,919,+12,79,66,68,213,
21,Kelley Foster,152191,931,+16,84,64,69,217,
21,Alexis Kerman,142354,922,+16,75,72,70,217,
23,Erika Stinchcomb,71262,919,+19,74,73,73,220,
24,Trinity Bryant,168863,916,+20,76,70,75,221,
25,Lykke Lorentzen,99441,927,+21,76,74,72,222,
26,Shelby Cowen,124064,918,+22,76,80,67,223,
27,Hannah Kellar,198721,888,+29,82,76,72,230,
28,Ashley Phelps,132291,918,+32,79,80,74,233,
29,Madalyn Payton,235368,902,+33,88,73,73,234,
30,Eden Fletcher,209432,889,+37,89,71,78,238,
31,Maria Liivamägi,107297,881,+38,85,77,77,239,
32,Emily Beach,61144,909,+44,87,82,76,245,
33,Cathy Kuhn,109337,861,+60,95,85,81,261,
34,Evie Lou Ramey,221583,893,96,80,999,DNF,,
