1,Holyn Handley,133547,987,-28,61,57,64,60,242,"$7,000"
2,Silva Saarinen,107335,986,-24,62,61,62,61,246,"$4,000"
3,Ohn Scoggins,48976,986,-20,67,55,66,62,250,"$3,000"
4,Ella Hansen,144112,970,-19,56,64,66,65,251,"$2,200"
5,Rebecca Don,208576,955,-14,63,59,67,67,256,"$1,650"
6,Missy Gannon,85942,987,-12,64,65,64,65,258,"$1,480"
7,Taylor Chocek,189702,946,-11,69,60,65,65,259,"$1,276"
7,Heidi Laine,66599,959,-11,65,64,61,69,259,"$1,276"
9,Emily Weatherman,111487,951,-10,64,63,68,65,260,"$1,140"
10,Anniken Kristiansen Steen,109996,962,-9,63,63,69,66,261,"$1,070"
11,Therese Cuevas,162896,932,-8,63,61,68,70,262,"$1,000"
12,Paige Pierce,29190,972,-7,64,72,62,65,263,$839
12,Sofia Donnecke,185534,964,-7,62,69,66,66,263,$839
12,Catrina Allen,44184,962,-7,65,61,67,70,263,$839
12,Jennifer Allen,15354,971,-7,63,65,62,73,263,$839
16,Kat Mertsch,99455,966,-5,66,62,70,67,265,$690
17,Jessica Gurthie,50656,958,-3,67,66,64,70,267,$630
18,Kona Star Montgomery,27832,944,-1,71,65,64,69,269,$580
19,Violet Main,104314,942,E,69,65,68,68,270,$530
20,Amanda Lennartsson,155026,927,+1,70,68,66,67,271,$490
21,Chandler Reigh,277832,936,+2,69,63,69,71,272,$450
22,Madison Walker,59431,948,+3,67,67,66,73,273,$420
23,Lisa Fajkus,32654,959,+5,64,64,74,73,275,$400
24,Jennifer Smiley,184736,936,+6,71,69,66,70,276,
25,Eliezra Midtlyng,198446,942,+7,71,66,69,71,277,
26,Trinity Bryant,168863,916,+9,69,64,74,72,279,
27,Kelley Foster,152191,932,+10,68,69,68,75,280,
28,Dani K. Hart,146137,949,+11,64,71,69,77,281,
29,Zoe AnDyke,39504,925,+12,67,68,72,75,282,
29,Raven Klein,138272,949,+12,63,72,71,76,282,
31,Eden Fletcher,209432,897,+17,70,65,78,74,287,
32,Erika Stinchcomb,71262,918,+18,72,68,74,74,288,
32,Maria Oliva,63257,914,+18,66,72,76,74,288,
34,Madison Tomaino,60798,923,+22,69,70,73,80,292,
35,Elva-Kate Preston,184609,907,+14,71,69,76,216,,
36,Emily Yale,144791,892,+15,76,71,70,217,,
36,Nathalie Ortiz,133701,899,+15,76,70,71,217,,
38,Amelia Saechao,240590,868,+19,76,74,71,221,,
39,Alex von Stade,82809,892,+20,78,74,70,222,,
40,Karissa Dedmon,176481,926,+22,71,73,80,224,,
41,Ratana McMahon,101949,895,+28,69,79,82,230,,
42,Jessica Erickson,261058,890,+31,80,72,81,233,,
43,Athena Cuevas,185627,863,+33,78,82,75,235,,
44,Sophi Stephenson,245317,864,+40,73,81,88,242,,
45,Stefani Ewell,228486,857,+44,80,83,83,246,,
