1,Richard Wysocki,38008,1051,-24,58,54,59,171,"$10,000"
2,Gannon Buhr,75412,1059,-23,60,60,52,172,"$6,000"
3,Paul McBeth,27523,1047,-21,58,57,59,174,"$4,000"
4,Kyle Klein,85132,1043,-20,59,58,58,175,"$3,000"
5,Sullivan Tipton,78817,1039,-18,64,57,56,177,"$2,200"
5,Chandler Kramer,139228,1027,-18,59,58,60,177,"$2,200"
7,Adam Hammes,57365,1034,-17,55,63,60,178,"$1,800"
8,Jake Hebenheimer,43762,1018,-14,63,60,58,181,"$1,650"
9,Ezra Robinson,50671,1041,-13,68,58,56,182,"$1,258"
9,Aaron Gossage,35449,1039,-13,61,64,57,182,"$1,258"
9,Andrew Presnell,63765,1030,-13,62,62,58,182,"$1,258"
9,Joel Freeman,69509,1034,-13,63,59,60,182,"$1,258"
9,Isaac Robinson,50670,1048,-13,60,58,64,182,"$1,258"
9,Evan Smith,101574,1037,-13,58,59,65,182,"$1,258"
15,Harper Thompson,60259,1023,-12,66,57,60,183,$923
15,Niklas Anttila,91249,1045,-12,59,64,60,183,$923
15,Dallas Garber,138089,1025,-12,61,59,63,183,$923
15,Joseph Anderson,122356,1029,-12,59,60,64,183,$923
19,Elijah Bickel,94844,1021,-11,61,63,60,184,$810
19,Zachary Nash,101197,1030,-11,60,61,63,184,$810
19,Simon Lizotte,8332,1036,-11,58,63,63,184,$810
22,Braeden Sides,129963,1024,-10,60,64,61,185,$735
22,Casey White,81739,1031,-10,55,67,63,185,$735
24,Luke Taylor,102119,1034,-9,74,58,54,186,$645
24,Calvin Heimburg,45971,1051,-9,69,58,59,186,$645
24,Ryan Monn,144929,1021,-9,61,61,64,186,$645
24,Eagle McMahon,37817,1040,-9,60,60,66,186,$645
28,Jonathan Borzick,119794,1029,-8,62,65,60,187,$550
28,Corey Ellis,44512,1032,-8,59,66,62,187,$550
28,Ty Love,89959,1023,-8,66,57,64,187,$550
28,Paul Krans,132521,1033,-8,58,65,64,187,$550
32,Garrett Gurthie,13864,1017,-7,64,68,56,188,$455
32,Micah Groth,113179,1027,-7,71,58,59,188,$455
32,Matthew Orum,18330,1033,-7,65,61,62,188,$455
32,Chris Dickerson,62467,1037,-7,60,66,62,188,$455
32,Anthony Barela,44382,1043,-7,65,60,63,188,$455
32,Andrew Marwede,75590,1034,-7,63,62,63,188,$455
38,Clay Edwards,91397,1020,-6,65,61,63,189,$410
39,Gavin Babcock,80331,1033,-5,64,67,59,190,$131
39,Jakub Semerád,91925,1022,-5,62,66,62,190,$131
39,Nathan Queen,68286,1027,-5,65,62,63,190,$131
42,Jake Monn,98722,1029,-4,68,65,58,191,
42,Matt Bell,48950,1025,-4,64,63,64,191,
44,Wyatt Mahoney,89460,1018,-3,70,59,63,192,
44,Parker Welck,39491,1029,-3,66,63,63,192,
44,Alan Vazquez,198236,990,-3,66,63,63,192,
44,Bradley Williams,31644,1031,-3,65,60,67,192,
48,Mason Ford,72844,1037,-2,62,69,62,193,
48,Gavin Phillips,119504,1016,-2,68,58,67,193,
50,Ezra Aderhold,121715,1032,-1,70,61,63,194,
50,Austin Turner,54049,1031,-1,67,64,63,194,
50,Jaden Rye,153363,1027,-1,67,63,64,194,
50,Colten Montgomery,35876,1002,-1,64,63,67,194,
