Week,Tournament,Start 1,Start 2,Start 3,Start 4,Start 5,Bench 1,Bench 2,Bench 3,Bench 4,Bench 5,Injury Reserve
1,Las Vegas,Anthony Barela,Corey Ellis,Eagle Mcmahon,Kevin Jones,Ezra Aderhold,Drew Gibson,Chris Dickerson,Andrew Marwede,Thomas Gilbert,Ricky Wysocki,
2,Waco,Thomas Gilbert,Corey Ellis,Eagle Mcmahon,Kevin Jones,Chris Dickerson,Drew Gibson,Chris Dickerson,Andrew Marwede,Ezra Aderhold,Anthony Barela,Ricky Wysocki
3,Austin,Anthony Barela,Ricky Wysocki,Eagle Mcmahon,Kevin Jones,Chris Dickerson,Drew Gibson,James Proctor,Andrew Marwede,Corey Ellis,Ezra Aderhold,
4,Music City,Anthony Barela,Ezra Aderhold,Eagle Mcmahon,Kevin Jones,Chris Dickerson,Drew Gibson,James Proctor,Andrew Marwede,Ricky Wysocki,Corey Ellis,
5,Champions Cup,Chris Dickerson,Anthony Barela,James Proctor,Corey Ellis,Eagle Mcmahon,Drew Gibson,Bradley Williams,Vaino Makela,Ezra Aderhold,Kevin Jones,Ricky Wysocki
6,Jonesboro Open,Kevin Jones,Eagle Mcmahon,Chris Dickerson,Anthony Barela,Ezra Aderhold,Silas Schultz,Vaino Makela,James Proctor,Corey Ellis,Drew Gibson,Ricky Wysocki
7,OTB Open,,,,,,,,,,,
8,Portland Open,,,,,,,,,,,
9,Dynamic Discs Open,,,,,,,,,,,
10,Trubank Des Moines Challenge,,,,,,,,,,,
11,The Preserve Championship,,,,,,,,,,,
12,PCS Open,,,,,,,,,,,
13,European Open,,,,,,,,,,,
14,Discraft Ledgestone Open,,,,,,,,,,,
15,LWS Open at Idlewild,,,,,,,,,,,
16,Discraft's Great Lakes Open,,,,,,,,,,,
17,PDGA Professional World Championships,,,,,,,,,,,
18,MVP Open at Maple Hill,,,,,,,,,,,
19,U.S. Disc Golf Championship,,,,,,,,,,,
20,Disc Golf Pro Tour Championship,,,,,,,,,,,
