Week,Tournament,Start 1,Start 2,Start 3,Start 4,Start 5,Bench 1,Bench 2,Bench 3,Bench 4,Bench 5,Injury Reserve
1,Las Vegas,Calvin Heimburg,Kyle Klein,Isaac Robinson,Joel Freeman,Alden Harris,Adam Hammes,Garrett Gurthie,Gregg Barsby,James Conrad,Mason Ford,
2,Waco,Calvin Heimburg,Kyle Klein,Isaac Robinson,Joel Freeman,James Conrad,Adam Hammes,Garrett Gurthie,Gregg Barsby,Alden Harris,Mason Ford,
3,Austin,Calvin Heimburg,Kyle Klein,Garrett Gurthie,Joel Freeman,James Conrad,Adam Hammes,Isaac Robinson,Gregg Barsby,Alden Harris,Mason Ford,
4,Music City,Calvin Heimburg,Kyle Klein,Garrett Gurthie,Adam Hammes,Mason Ford,James Conrad,Isaac Robinson,Gregg Barsby,Alden Harris,Joel Freeman,
5,Champions Cup,Calvin Heimburg,Isaac Robinson,Joel Freeman,Mason Ford,James Conrad,Kyle Klein,Adam Hammes,Gregg Barsby,Alden Harris,Garrett Gurthie,
6,Jonesboro Open,Calvin Heimburg,Joel Freeman,Adam Hammes,Mason Ford,Alden Harris,Kyle Klein,Isaac Robinson,James Conrad,Garrett Gurthie,Gregg Barsby,
7,OTB Open,Calvin Heimburg,Kyle Klein,Adam Hammes,James Conrad,Garrett Gurthie,,,,,,
8,Portland Open,Calvin Heimburg,Isaac Robinson,Adam Hammes,Joel Freeman,Garrett Gurthie,,,,,,
9,Dynamic Discs Open,Calvin Heimburg,Kyle Klein,Isaac Robinson,Mason Ford,Alden Harris,,,,,,
10,Trubank Des Moines Challenge,Calvin Heimburg,Kyle Klein,Joel Freeman,Isaac Robinson,Mason Ford,,,,,,
11,The Preserve Championship,Calvin Heimburg,Alden Harris,Isaac Robinson,James Conrad,Adam Hammes,,,,,,
12,PCS Open,Calvin Heimburg,Gregg Barsby,Adam Hammes,James Conrad,Garrett Gurthie,,,,,,
13,European Open,Calvin Heimburg,Kyle Klein,Isaac Robinson,James Conrad,Adam Hammes,,,,,,
14,Discraft Ledgestone Open,Calvin Heimburg,Kyle Klein,Isaac Robinson,James Conrad,Adam Hammes,,,,,,
15,LWS Open at Idlewild,Calvin Heimburg,Kyle Klein,Isaac Robinson,James Conrad,Joel Freeman,,,,,,
16,Discraft's Great Lakes Open,Calvin Heimburg,Kyle Klein,Isaac Robinson,James Conrad,Adam Hammes,,,,,,
17,PDGA Professional World Championships,,,,,,,,,,,
18,MVP Open at Maple Hill,,,,,,,,,,,
19,U.S. Disc Golf Championship,,,,,,,,,,,
20,Disc Golf Pro Tour Championship,,,,,,,,,,,
